category,metric,data_16_mean,data_32_mean,delta_data_32_minus_16,delta_data_ci_low,delta_data_ci_high,gail_16_mean,gail_32_mean,delta_gail_32_minus_16,delta_gail_ci_low,delta_gail_ci_high,consistency_error,consistency_ci_low,consistency_ci_high,absolute_consistency_error
Predator,Normalized predator distance,0.09309464367106557,0.18842005133628845,0.09532540766522288,0.03597036047996621,0.1548930310673313,0.1340342255930106,0.11071655228734016,-0.02331767330567043,-0.04036992297818265,-0.0054072058573365195,-0.11864308097089331,-0.1833284854774718,-0.05449934398242653,0.11864308097089331
Predator,Pursuit alignment,0.43912757001817226,0.07252290892813887,-0.3666046610900334,-0.6224343094003519,-0.08572169900871854,0.009496049270577107,0.016034297897325207,0.0065382486267481,-0.03744887134695697,0.04873848322162904,0.37314290971678155,0.09431732466552481,0.6314791898745585,0.37314290971678155
Prey,Escape alignment,0.2993539604358375,0.06499378814228944,-0.23436017229354805,-0.4032867607061884,-0.04246647235604804,0.016269701765850186,-0.011835381831042468,-0.028105083596892656,-0.05321761007983392,-0.0010912706485639325,0.2062550886966554,0.016154510845829414,0.3820162514910944,0.2062550886966554
Prey,Continuous prey reorientation R,-0.003252469206927344,0.0008267824101494625,0.004079251617076807,-0.00027349000003595956,0.008730561462827606,-0.007193395759289464,-0.006527659778172771,0.0006657359811166929,0.00017921891179867037,0.0011702911920535072,-0.003413515635960114,-0.007940736324327492,0.0011971966974087948,0.003413515635960114
Collective,"Degree of Swarm (DoS), T-common",0.04023798032399805,0.030250529481830424,-0.009987450842167626,-0.025067327206934956,0.002485173643194977,0.062154524894879465,0.05141014516114551,-0.010744379733733954,-0.015145908094927623,-0.0062031463397593705,-0.0007569288915663282,-0.013920728918289904,0.014906733093254378,0.0007569288915663282
Collective,"Degree of Alignment (DoA), T-common",0.8387553834341427,0.836296457456529,-0.0024589259776136574,-0.05345408059356759,0.04932910721523635,0.8378380712393984,0.8134098611307228,-0.024428210108675574,-0.044150748065873574,-0.0045324840865457365,-0.021969284131061917,-0.075720755597663,0.03301062119730262,0.021969284131061917
