category,metric,n_prey,data_n,data_mean,data_ci_low,data_ci_high,gail_n,gail_mean,gail_ci_low,gail_ci_high,gail_minus_data,difference_ci_low,difference_ci_high,absolute_imitation_error
Predator,Normalized predator distance,16,30,0.05698778443038464,0.05431186828451852,0.059518585928405324,30,0.09974857494235038,0.09759187204763294,0.10188778063903253,0.04276079051196575,0.03935047555714846,0.04631605294222633,0.04276079051196575
Predator,Normalized predator distance,32,30,0.057037241260210675,0.055143511140098175,0.05909513470095893,30,0.06852755099534988,0.06750073293223978,0.06955126626417041,0.011490309735139204,0.009060439066961402,0.013726403079926975,0.011490309735139204
Predator,Pursuit alignment,16,30,0.8780091226100921,0.8691280972460905,0.8874794921278953,30,0.011765206277292843,-0.0030344275943449853,0.026015301623119737,-0.8662439163327993,-0.8832666584166873,-0.849202301970751,0.8662439163327993
Predator,Pursuit alignment,32,30,0.8508742451667786,0.8428876109421254,0.8588405040899912,30,0.021901844192567903,0.011834749090849073,0.03220007422205526,-0.8289724009742107,-0.8422880163782731,-0.8155469679518379,0.8289724009742107
Prey,Escape alignment,16,30,0.3291533807913462,0.3162084904313087,0.34463742949068543,30,-0.021871548953155677,-0.025299998965735235,-0.018410605237586426,-0.3510249297445019,-0.3678291816567071,-0.3372254992346279,0.3510249297445019
Prey,Escape alignment,32,30,0.26582293460766476,0.25892861964801944,0.2723093883196513,30,-0.01884685658539335,-0.02139145795178289,-0.01633954696590081,-0.28466979119305813,-0.2917197403381579,-0.2776181580782092,0.28466979119305813
Prey,Continuous prey reorientation R,16,30,-0.0426582895219326,-0.043523003648345666,-0.04183873150187234,30,-0.06861712113022804,-0.0695276720263064,-0.06775834888219834,-0.025958831608295437,-0.027137528999398156,-0.024772018827497955,0.025958831608295437
Prey,Continuous prey reorientation R,32,30,-0.04209125476578871,-0.04261372752487659,-0.04157362765943011,30,-0.0703718272348245,-0.0714458383557697,-0.0692579524902006,-0.028280572469035793,-0.02944589448471864,-0.026978733853126564,0.028280572469035793
Collective,"Degree of Swarm (DoS), T-common",16,30,0.05541931075023022,0.05207910045046165,0.058317766369728685,30,0.1008632191373656,0.10039084818284649,0.1013375693546484,0.04544390838713538,0.04264254811751813,0.04865506528403493,0.04544390838713538
Collective,"Degree of Swarm (DoS), T-common",32,30,0.042554008328371376,0.04113427517863146,0.04371379935626639,30,0.06886797093984981,0.06869144497830731,0.0690622994370324,0.026313962611478434,0.025126652279093015,0.027757227418012526,0.026313962611478434
Collective,"Degree of Alignment (DoA), T-common",16,30,0.8695037123491366,0.8603454384971658,0.8794825504844387,30,0.6371263762752214,0.6330564248600229,0.6408583899556597,-0.2323773360739152,-0.2435681396604701,-0.22275199183226882,0.2323773360739152
Collective,"Degree of Alignment (DoA), T-common",32,30,0.8452292412708202,0.8389773994232963,0.8525142690539608,30,0.6370864631672699,0.6342942714849611,0.6398541907179605,-0.2081427781035503,-0.21589502889479217,-0.2013717192323752,0.2081427781035503
