category,metric,data_16_mean,data_32_mean,delta_data_32_minus_16,delta_data_ci_low,delta_data_ci_high,gail_16_mean,gail_32_mean,delta_gail_32_minus_16,delta_gail_ci_low,delta_gail_ci_high,consistency_error,consistency_ci_low,consistency_ci_high,absolute_consistency_error
Predator,Normalized predator distance,0.09309463331010193,0.18842004175697055,0.09532540844686863,0.044836787459041405,0.12386030913205882,0.09292173385620117,0.04112950712442398,-0.05179222673177719,-0.05179222673177719,-0.05179222673177719,-0.14711763517864582,-0.2122470217126621,-0.09034187617744985,0.14711763517864582
Predator,Pursuit alignment,0.43912755511701107,0.07252290658652782,-0.36660464853048325,-0.5494570505100169,-0.21010626618484313,0.3136390745639801,-0.1273500919342041,-0.4409891664981842,-0.4409891664981842,-0.4409891664981842,-0.07438451796770096,-0.3708339011363153,0.07601489986026923,0.07438451796770096
Prey,Escape alignment,0.2993539781309664,0.06499378638608115,-0.23436019174488526,-0.36317664566848956,-0.011901558534841095,0.6602079272270203,0.0031436574645340443,-0.6570642697624862,-0.6570642697624862,-0.6570642697624862,-0.42270407801760096,-0.6142105630063451,-0.2666832340987666,0.42270407801760096
Prey,Continuous prey reorientation R,-0.00325246879219776,0.0008267830108525232,0.004079251803050283,0.0020014541550772264,0.007600876970675016,-0.008214219473302364,0.0021629203110933304,0.010377139784395695,0.010377139784395695,0.010377139784395695,0.0062978879813454115,0.002037017800124886,0.009891362502377888,0.0062978879813454115
Collective,"Degree of Swarm (DoS), T-common",0.03938400078165744,0.029206166359862045,-0.010177834421795397,-0.017405137387831927,-0.0011776620179339988,0.03684846577899797,0.049057294854096004,0.012208829075098036,0.012208829075098036,0.012208829075098036,0.022386663496893434,0.015464888182593442,0.033264021938521175,0.022386663496893434
Collective,"Degree of Alignment (DoA), T-common",0.855411330291203,0.8467151038348675,-0.008696226456335499,-0.04703612252670726,0.021846863638077356,0.8992498125348772,0.8514212165560041,-0.04782859597887312,-0.04782859597887312,-0.04782859597887312,-0.039132369522537624,-0.06757214909153314,0.005671856437942798,0.039132369522537624
