category,metric,n_prey,data_n,data_mean,data_ci_low,data_ci_high,gail_n,gail_mean,gail_ci_low,gail_ci_high,gail_minus_data,difference_ci_low,difference_ci_high,absolute_imitation_error
Predator,Normalized predator distance,16,1,0.07501557469367981,0.07501557469367981,0.07501557469367981,1,0.10645387321710587,0.10645387321710587,0.10645387321710587,0.031438298523426056,0.031438298523426056,0.031438298523426056,0.031438298523426056
Predator,Normalized predator distance,32,1,0.1501903533935547,0.1501903533935547,0.1501903533935547,1,0.09448911994695663,0.09448911994695663,0.09448911994695663,-0.05570123344659805,-0.05570123344659805,-0.05570123344659805,0.05570123344659805
Predator,Pursuit alignment,16,1,0.7663996815681458,0.7663996815681458,0.7663996815681458,1,0.12244698405265808,0.12244698405265808,0.12244698405265808,-0.6439526975154877,-0.6439526975154877,-0.6439526975154877,0.6439526975154877
Predator,Pursuit alignment,32,1,0.5094647407531738,0.5094647407531738,0.5094647407531738,1,-0.01308197621256113,-0.01308197621256113,-0.01308197621256113,-0.522546716965735,-0.522546716965735,-0.522546716965735,0.522546716965735
Prey,Escape alignment,16,1,0.14911144971847534,0.14911144971847534,0.14911144971847534,1,-0.0146543113514781,-0.0146543113514781,-0.0146543113514781,-0.16376576106995344,-0.16376576106995344,-0.16376576106995344,0.16376576106995344
Prey,Escape alignment,32,1,0.21413391828536987,0.21413391828536987,0.21413391828536987,1,-0.0064903125166893005,-0.0064903125166893005,-0.0064903125166893005,-0.22062423080205917,-0.22062423080205917,-0.22062423080205917,0.22062423080205917
Prey,Continuous prey reorientation R,16,1,-0.0351298488676548,-0.0351298488676548,-0.0351298488676548,1,-0.08578764647245407,-0.08578764647245407,-0.08578764647245407,-0.05065779760479927,-0.05065779760479927,-0.05065779760479927,0.05065779760479927
Prey,Continuous prey reorientation R,32,1,-0.030408339574933052,-0.030408339574933052,-0.030408339574933052,1,-0.08215369284152985,-0.08215369284152985,-0.08215369284152985,-0.051745353266596794,-0.051745353266596794,-0.051745353266596794,0.051745353266596794
Collective,"Degree of Swarm (DoS), T-common",16,1,0.07187950568539755,0.07187950568539755,0.07187950568539755,1,0.10453579936708723,0.10453579936708723,0.10453579936708723,0.03265629368168968,0.03265629368168968,0.03265629368168968,0.03265629368168968
Collective,"Degree of Swarm (DoS), T-common",32,1,0.05051279312797955,0.05051279312797955,0.05051279312797955,1,0.062215399635689596,0.062215399635689596,0.062215399635689596,0.011702606507710045,0.011702606507710045,0.011702606507710045,0.011702606507710045
Collective,"Degree of Alignment (DoA), T-common",16,1,0.7599452614784241,0.7599452614784241,0.7599452614784241,1,0.6271910309791565,0.6271910309791565,0.6271910309791565,-0.1327542304992676,-0.1327542304992676,-0.1327542304992676,0.1327542304992676
Collective,"Degree of Alignment (DoA), T-common",32,1,0.7659145389284406,0.7659145389284406,0.7659145389284406,1,0.6632603917803083,0.6632603917803083,0.6632603917803083,-0.10265414714813237,-0.10265414714813237,-0.10265414714813237,0.10265414714813237
